Time [us],Protocol,Packet Length (Layer 3) [Byte]
10703732,IEC 60870-5 ASDU,252
10803600,IEC 60870-5 ASDU,292
10803601,IEC 60870-5 ASDU,252
10845222,TCP,46
10903613,IEC 60870-5 ASDU,292
10903614,IEC 60870-5 ASDU,252
11003771,IEC 60870-5 ASDU,292
11003773,IEC 60870-5 ASDU,252
11103803,IEC 60870-5 ASDU,292
11103804,IEC 60870-5 ASDU,252
11203779,IEC 60870-5 ASDU,292
11203780,IEC 60870-5 ASDU,252
11245323,TCP,46
11303527,IEC 60870-5 ASDU,292
11303529,IEC 60870-5 ASDU,252
11403765,IEC 60870-5 ASDU,292
11403766,IEC 60870-5 ASDU,252
11503668,IEC 60870-5 ASDU,292
11503669,IEC 60870-5 ASDU,252
11603623,IEC 60870-5 ASDU,292
11603624,IEC 60870-5 ASDU,252
11645396,TCP,46
11703477,IEC 60870-5 ASDU,292
11703478,IEC 60870-5 ASDU,252
11803634,IEC 60870-5 ASDU,292
11803635,IEC 60870-5 ASDU,252
11903673,IEC 60870-5 ASDU,292
11903674,IEC 60870-5 ASDU,252
12003244,IEC 60870-5 ASDU,292
12003246,IEC 60870-5 ASDU,252
12045263,TCP,46
12103327,IEC 60870-5 ASDU,292
12103327,IEC 60870-5 ASDU,252
12203652,IEC 60870-5 ASDU,292
12203652,IEC 60870-5 ASDU,252
12303530,IEC 60870-5 ASDU,292
12303531,IEC 60870-5 ASDU,252
12403680,IEC 60870-5 ASDU,292
12403680,IEC 60870-5 ASDU,252
12445231,TCP,46
12503283,IEC 60870-5 ASDU,292
12503283,IEC 60870-5 ASDU,252
12603697,IEC 60870-5 ASDU,292
12603698,IEC 60870-5 ASDU,252
12703030,IEC 60870-5 ASDU,292
12703031,IEC 60870-5 ASDU,252
12803545,IEC 60870-5 ASDU,292
12803547,IEC 60870-5 ASDU,252
12845522,TCP,46
12902888,IEC 60870-5 ASDU,292
12902888,IEC 60870-5 ASDU,252
13003446,IEC 60870-5 ASDU,292
13003447,IEC 60870-5 ASDU,252
13103099,IEC 60870-5 ASDU,292
13103099,IEC 60870-5 ASDU,252
13203378,IEC 60870-5 ASDU,292
13203380,IEC 60870-5 ASDU,252
13245268,TCP,46
13303393,IEC 60870-5 ASDU,292
13303394,IEC 60870-5 ASDU,252
13403693,IEC 60870-5 ASDU,292
13403694,IEC 60870-5 ASDU,252
13503528,IEC 60870-5 ASDU,292
13503530,IEC 60870-5 ASDU,252
13613677,IEC 60870-5 ASDU,292
13613677,IEC 60870-5 ASDU,252
13645354,TCP,46
13703465,IEC 60870-5 ASDU,292
13703465,IEC 60870-5 ASDU,252
13802969,IEC 60870-5 ASDU,292
13802969,IEC 60870-5 ASDU,252
13902957,IEC 60870-5 ASDU,292
13902958,IEC 60870-5 ASDU,252
14013635,IEC 60870-5 ASDU,292
14013636,IEC 60870-5 ASDU,252
14045322,TCP,46
14103368,IEC 60870-5 ASDU,292
14103369,IEC 60870-5 ASDU,252
14202964,IEC 60870-5 ASDU,292
14202964,IEC 60870-5 ASDU,252
14303121,IEC 60870-5 ASDU,292
14303122,IEC 60870-5 ASDU,252
14403400,IEC 60870-5 ASDU,292
14403400,IEC 60870-5 ASDU,252
14445172,TCP,46
14502902,IEC 60870-5 ASDU,292
14502903,IEC 60870-5 ASDU,252
14603338,IEC 60870-5 ASDU,292
14603340,IEC 60870-5 ASDU,252
14702709,IEC 60870-5 ASDU,292
14702709,IEC 60870-5 ASDU,252
14803506,IEC 60870-5 ASDU,292
14803506,IEC 60870-5 ASDU,252
14845209,TCP,46
14913700,IEC 60870-5 ASDU,292
14913701,IEC 60870-5 ASDU,252
15003483,IEC 60870-5 ASDU,292
15003484,IEC 60870-5 ASDU,252
15103433,IEC 60870-5 ASDU,292
15103435,IEC 60870-5 ASDU,252
15203234,IEC 60870-5 ASDU,292
15203234,IEC 60870-5 ASDU,252
15245195,TCP,46
15303272,IEC 60870-5 ASDU,292
15303273,IEC 60870-5 ASDU,252
15403223,IEC 60870-5 ASDU,292
15403224,IEC 60870-5 ASDU,252
15503289,IEC 60870-5 ASDU,292
15503290,IEC 60870-5 ASDU,252
15603293,IEC 60870-5 ASDU,292
15603295,IEC 60870-5 ASDU,252
15654757,TCP,46
15703264,IEC 60870-5 ASDU,292
15703265,IEC 60870-5 ASDU,252
15803835,IEC 60870-5 ASDU,292
15803835,IEC 60870-5 ASDU,252
15902908,IEC 60870-5 ASDU,292
15902909,IEC 60870-5 ASDU,252
16003275,IEC 60870-5 ASDU,292
16003275,IEC 60870-5 ASDU,252
